item_id,automatic_category,unanswerable,labeller_version
comp:d3:018,logical_composition,no,2
comp:d2:002,negation_polarity,no,2
real:ctgov:NCT07687160:exc:02:00,logical_composition,no,2
real:ctgov:NCT07688460:exc:01:00,none,no,2
comp:d4:008,negation_polarity,no,2
comp:d6:003,logical_composition,no,2
real:ctgov:NCT07776821:exc:02:00,logical_composition,no,2
comp:d5:007,logical_composition,no,2
real:ctgov:NCT07691138:inc:01:01,none,no,2
real:ctgov:NCT07788586:inc:00:00,none,no,2
comp:d4:042,logical_composition,no,2
comp:d4:053,negation_polarity,no,2
real:ctgov:NCT07763548:inc:00:00,none,no,2
comp:d6:015,negation_polarity,no,2
comp:d4:026,negation_polarity,no,2
comp:d4:012,negation_polarity,no,2
real:ctgov:NCT07715448:inc:01:01,none,no,2
real:ctgov:NCT07760207:exc:01:01,none,no,2
comp:d3:034,negation_polarity,no,2
comp:d6:043,logical_composition,no,2
real:ctgov:NCT07766109:inc:00:00,none,no,2
comp:d6:006,logical_composition,no,2
comp:d6:036,logical_composition,no,2
comp:d5:059,logical_composition,no,2
real:ctgov:NCT07780292:inc:00:01,logical_composition,no,2
comp:d5:042,negation_polarity,no,2
comp:d6:053,negation_polarity,no,2
comp:d4:001,logical_composition,no,2
real:ctgov:NCT07715448:inc:00:01,none,no,2
real:ctgov:NCT07695298:exc:01:01,temporal,no,2
comp:d2:019,logical_composition,no,2
comp:d5:031,negation_polarity,no,2
real:ctgov:NCT07750938:inc:00:01,negation_polarity,no,2
comp:d2:027,temporal,no,2
comp:d6:041,logical_composition,no,2
comp:d4:027,negation_polarity,no,2
real:ctgov:NCT07720037:inc:00:01,negation_polarity,no,2
comp:d5:001,logical_composition,no,2
comp:d6:047,logical_composition,no,2
comp:d2:035,negation_polarity,no,2
real:ctgov:NCT07704658:inc:02:00,none,no,2
comp:d4:040,logical_composition,no,2
comp:d6:025,negation_polarity,no,2
comp:d3:035,logical_composition,no,2
comp:d6:026,logical_composition,no,2
comp:d6:009,negation_polarity,no,2
real:ctgov:NCT07787585:exc:00:01,none,no,2
real:ctgov:NCT07743060:inc:01:01,negation_polarity,no,2
real:ctgov:NCT07686861:inc:00:01,none,no,2
real:ctgov:NCT07713602:inc:02:01,none,no,2
comp:d4:005,negation_polarity,no,2
comp:d5:052,numeric_threshold,no,2
comp:d4:020,logical_composition,no,2
real:ctgov:NCT07715448:inc:00:00,none,no,2
comp:d2:057,logical_composition,no,2
real:ctgov:NCT07771010:inc:00:01,none,no,2
comp:d4:023,logical_composition,no,2
real:ctgov:NCT07772609:inc:00:01,none,no,2
real:ctgov:NCT07695298:inc:00:00,negation_polarity,no,2
real:ctgov:NCT07772609:inc:00:00,none,no,2
comp:d3:041,numeric_threshold,no,2
comp:d2:012,negation_polarity,no,2
real:ctgov:NCT07744698:exc:00:01,none,no,2
comp:d5:003,logical_composition,no,2
comp:d6:014,logical_composition,no,2
real:ctgov:NCT07788924:exc:01:00,temporal,no,2
real:ctgov:NCT07762794:exc:01:01,none,no,2
comp:d2:042,negation_polarity,no,2
real:ctgov:NCT07753200:inc:00:01,none,no,2
real:ctgov:NCT07699770:inc:01:00,none,no,2
comp:d6:018,negation_polarity,no,2
comp:d6:030,logical_composition,no,2
comp:d4:029,logical_composition,no,2
comp:d6:034,logical_composition,no,2
comp:d3:033,logical_composition,no,2
comp:d4:021,logical_composition,no,2
real:ctgov:NCT07763548:inc:00:01,none,no,2
real:ctgov:NCT07771010:inc:00:00,none,no,2
comp:d6:017,logical_composition,no,2
comp:d5:045,negation_polarity,no,2
comp:d4:050,logical_composition,no,2
comp:d2:031,logical_composition,no,2
comp:d3:048,logical_composition,no,2
comp:d5:054,negation_polarity,no,2
comp:d6:057,negation_polarity,no,2
comp:d6:044,logical_composition,no,2
comp:d5:014,logical_composition,no,2
real:ctgov:NCT07720037:inc:00:00,negation_polarity,no,2
comp:d2:054,logical_composition,no,2
comp:d4:011,negation_polarity,no,2
comp:d4:010,negation_polarity,no,2
comp:d5:058,logical_composition,no,2
comp:d3:026,logical_composition,no,2
real:ctgov:NCT07683520:inc:00:01,negation_polarity,no,2
real:ctgov:NCT07713914:exc:01:01,none,no,2
real:ctgov:NCT07750938:inc:00:00,negation_polarity,no,2
real:ctgov:NCT07743060:inc:01:00,negation_polarity,no,2
comp:d4:024,numeric_threshold,no,2
comp:d4:035,negation_polarity,no,2
comp:d3:038,negation_polarity,no,2
comp:d4:007,negation_polarity,no,2
real:ctgov:NCT07743060:inc:02:01,negation_polarity,no,2
comp:d5:000,negation_polarity,no,2
real:ctgov:NCT07787585:exc:00:00,none,no,2
real:ctgov:NCT07690397:inc:00:00,none,no,2
comp:d6:011,logical_composition,no,2
comp:d5:043,logical_composition,no,2
comp:d6:056,logical_composition,no,2
comp:d5:006,logical_composition,no,2
