item_id,arm,depth,annotator1,annotator2,clinical_judgement_required,adjudication_rule,resolved_category,resolution_note
comp:d6:035,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:038,compositional,6,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d6:040,compositional,6,fabrication,numeric_threshold,False,resolve_on_merits,,
comp:d6:041,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:043,compositional,6,logical_composition,numeric_threshold,False,resolve_on_merits,,
comp:d6:044,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:046,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:047,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:055,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:056,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:058,compositional,6,negation_polarity,implicit_knowledge,False,resolve_on_merits,,
real:ctgov:NCT07683520:inc:00:01,real_criteria,0,negation_polarity,none,False,resolve_on_merits,,
real:ctgov:NCT07687160:exc:02:00,real_criteria,1,temporal,logical_composition,False,resolve_on_merits,,
real:ctgov:NCT07688460:exc:01:00,real_criteria,0,fabrication,temporal,True,annotator1_governs,,
real:ctgov:NCT07695298:inc:00:01,real_criteria,0,negation_polarity,none,False,resolve_on_merits,,
real:ctgov:NCT07699770:inc:01:00,real_criteria,0,negation_polarity,temporal,False,resolve_on_merits,,
real:ctgov:NCT07700446:exc:02:01,real_criteria,1,temporal,logical_composition,False,resolve_on_merits,,
real:ctgov:NCT07701967:exc:00:01,real_criteria,0,negation_polarity,none,True,annotator1_governs,,
real:ctgov:NCT07704658:inc:02:00,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
real:ctgov:NCT07715448:inc:01:01,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
real:ctgov:NCT07741292:inc:00:00,real_criteria,0,fabrication,none,True,annotator1_governs,,
real:ctgov:NCT07741292:inc:00:01,real_criteria,0,negation_polarity,none,True,annotator1_governs,,
real:ctgov:NCT07743060:inc:01:00,real_criteria,0,negation_polarity,none,False,resolve_on_merits,,
real:ctgov:NCT07743060:inc:02:01,real_criteria,0,negation_polarity,none,False,resolve_on_merits,,
real:ctgov:NCT07772609:inc:00:00,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
real:ctgov:NCT07772609:inc:00:01,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
real:ctgov:NCT07776821:exc:02:00,real_criteria,1,logical_composition,temporal,False,resolve_on_merits,,
real:ctgov:NCT07787585:exc:00:00,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
real:ctgov:NCT07787585:exc:00:01,real_criteria,0,numeric_threshold,none,True,annotator1_governs,,
